expid,peakid,year,season,route1,totmembers,smtmembers,smtdate,success,termreason,highpoint,o2used,commercial,camps,style
EVER97101,EVER,1997,Spring,S Col-SE Ridge,16,3,1997-04-26,True,1,8849.0,True,True,5.0,
MAKA97101,MAKA,1997,Spring,W Face-W Pillar-S Ridge,9,5,1997-05-21,True,1,8485.0,True,False,5.0,
KANG97104,KANG,1997,Spring,N Ridge-N Face,7,0,1997-05-08,False,4,8350.0,False,False,4.0,
MAKA97104,MAKA,1997,Spring,Makalu La-NW Ridge,1,0,1997-05-25,False,9,7300.0,False,False,2.0,solo
KANG97102,KANG,1997,Spring,N Face,15,1,1997-05-24,True,1,8586.0,False,False,5.0,
KANG97103,KANG,1997,Spring,N Face,11,0,1997-05-13,False,9,8500.0,False,False,3.0,
BARU97101,BARU,1997,Spring,SE Ridge,3,0,1997-05-02,False,4,6400.0,True,False,1.0,
MAKA97102,MAKA,1997,Spring,Makalu La-NW Ridge,2,0,1997-04-20,False,4,7300.0,False,False,1.0,
KANG97101,KANG,1997,Spring,N Face (Scott 1979 rte),7,0,1997-05-08,False,4,8350.0,False,False,3.0,
MAKA97103,MAKA,1997,Spring,Makalu La-NW Ridge,3,0,1997-05-18,False,9,7200.0,False,False,2.0,
GIMM97101,GIMM,1997,Spring,SW Ridge,14,6,1997-05-10,True,1,7005.0,False,False,4.0,
KANG97105,KANG,1997,Spring,,2,0,,False,11,,False,False,,
EVER97122,EVER,1997,Spring,N Col-NE Ridge,1,0,1997-05-08,False,7,7100.0,False,True,1.0,solo
JANU75301,JANU,1975,Autumn,N Face,15,0,1975-10-20,False,4,7300.0,False,False,5.0,
EVER75301,EVER,1975,Autumn,SW Face-S Smt,23,3,1975-09-24,True,1,8849.0,True,False,6.0,
CHRW75301,CHRW,1975,Autumn,W Ridge-W Smt,5,1,1975-10-21,True,1,7371.0,False,False,4.0,
DHA475301,DHA4,1975,Autumn,W Col-W Ridge from S,16,11,1975-10-19,True,1,7661.0,False,False,9.0,
KJRN75301,KJRN,1975,Autumn,SE Ridge,7,0,1975-10-29,False,6,6300.0,False,False,4.0,
ANNS75301,ANNS,1975,Autumn,N Face-N Ridge,10,0,1975-10-20,False,4,5800.0,False,False,2.0,
